seed,k,N,depth,xcoord,dist
1,8,8192,16,0.0625,0.13703078031539917
1,8,8192,17,0.06640625,0.14350131154060364
1,8,8192,18,0.0703125,0.1520984023809433
1,8,8192,19,0.07421875,0.1515452116727829
1,8,8192,20,0.078125,0.15332573652267456
1,8,8192,21,0.08203125,0.15132220089435577
1,8,8192,22,0.0859375,0.1528000384569168
1,8,8192,23,0.08984375,0.165690079331398
1,8,8192,24,0.09375,0.1654634326696396
1,8,8192,25,0.09765625,0.16962599754333496
1,8,8192,26,0.1015625,0.1776466965675354
1,8,8192,27,0.10546875,0.18170689046382904
1,8,8192,28,0.109375,0.1847122311592102
1,8,8192,29,0.11328125,0.1897185891866684
1,8,8192,30,0.1171875,0.19389334321022034
1,8,8192,31,0.12109375,0.18862764537334442
1,8,8192,32,0.125,0.1962231993675232
1,9,9216,16,0.05555555555555555,0.15698085725307465
1,9,9216,17,0.059027777777777776,0.15547305345535278
1,9,9216,18,0.0625,0.15844042599201202
1,9,9216,19,0.06597222222222222,0.15391653776168823
1,9,9216,20,0.06944444444444445,0.17548641562461853
1,9,9216,21,0.07291666666666667,0.1852688193321228
1,9,9216,22,0.0763888888888889,0.17562995851039886
1,9,9216,23,0.0798611111111111,0.168100044131279
1,9,9216,24,0.08333333333333333,0.1747884452342987
1,9,9216,25,0.08680555555555555,0.18753394484519958
1,9,9216,26,0.09027777777777778,0.19551602005958557
1,9,9216,27,0.09375,0.1838684231042862
1,9,9216,28,0.09722222222222222,0.18571388721466064
1,9,9216,29,0.10069444444444445,0.1872749924659729
1,9,9216,30,0.10416666666666667,0.1920311599969864
1,9,9216,31,0.1076388888888889,0.21063187718391418
1,9,9216,32,0.1111111111111111,0.2111140489578247
1,10,10240,16,0.05,0.12897524237632751
1,10,10240,17,0.053125,0.12325814366340637
1,10,10240,18,0.05625,0.13228780031204224
1,10,10240,19,0.059375,0.12970656156539917
1,10,10240,20,0.0625,0.13655425608158112
1,10,10240,21,0.065625,0.13723114132881165
1,10,10240,22,0.06875,0.13674631714820862
1,10,10240,23,0.071875,0.14516563713550568
1,10,10240,24,0.075,0.1461993157863617
1,10,10240,25,0.078125,0.1397082656621933
1,10,10240,26,0.08125,0.14003071188926697
1,10,10240,27,0.084375,0.140150249004364
1,10,10240,28,0.0875,0.14764563739299774
1,10,10240,29,0.090625,0.1591072976589203
1,10,10240,30,0.09375,0.15974025428295135
1,10,10240,31,0.096875,0.161528542637825
1,10,10240,32,0.1,0.17378918826580048
2,1,1024,16,0.5,0.4174807667732239
2,1,1024,17,0.53125,0.4195949137210846
2,1,1024,18,0.5625,0.42268189787864685
2,1,1024,19,0.59375,0.4506520628929138
2,1,1024,20,0.625,0.41777533292770386
2,1,1024,21,0.65625,0.3835908770561218
2,1,1024,22,0.6875,0.4170551598072052
2,1,1024,23,0.71875,0.40692421793937683
2,1,1024,24,0.75,0.3970017433166504
2,1,1024,25,0.78125,0.42286884784698486
2,1,1024,26,0.8125,0.41163599491119385
2,1,1024,27,0.84375,0.39421144127845764
2,1,1024,28,0.875,0.4532737135887146
2,1,1024,29,0.90625,0.39796823263168335
2,1,1024,30,0.9375,0.4434283375740051
2,1,1024,31,0.96875,0.3971303105354309
2,1,1024,32,1.0,0.4177980422973633
2,2,2048,16,0.25,0.20038838684558868
2,2,2048,17,0.265625,0.2115110456943512
2,2,2048,18,0.28125,0.21596898138523102
2,2,2048,19,0.296875,0.22490490972995758
2,2,2048,20,0.3125,0.2466312050819397
2,2,2048,21,0.328125,0.27616024017333984
2,2,2048,22,0.34375,0.2848231792449951
2,2,2048,23,0.359375,0.3077813386917114
2,2,2048,24,0.375,0.29809731245040894
2,2,2048,25,0.390625,0.30962952971458435
2,2,2048,26,0.40625,0.3580832779407501
2,2,2048,27,0.421875,0.37044429779052734
2,2,2048,28,0.4375,0.37931451201438904
2,2,2048,29,0.453125,0.33798617124557495
2,2,2048,30,0.46875,0.3158881962299347
2,2,2048,31,0.484375,0.3368235230445862
2,2,2048,32,0.5,0.3610402047634125
2,3,3072,16,0.16666666666666666,0.19494718313217163
2,3,3072,17,0.17708333333333334,0.19384120404720306
2,3,3072,18,0.1875,0.19285134971141815
2,3,3072,19,0.19791666666666666,0.1982783079147339
2,3,3072,20,0.20833333333333334,0.20928561687469482
2,3,3072,21,0.21875,0.21818950772285461
2,3,3072,22,0.22916666666666666,0.22690914571285248
2,3,3072,23,0.23958333333333334,0.2769785523414612
2,3,3072,24,0.25,0.25699877738952637
2,3,3072,25,0.2604166666666667,0.28914400935173035
2,3,3072,26,0.2708333333333333,0.29837390780448914
2,3,3072,27,0.28125,0.3019205331802368
2,3,3072,28,0.2916666666666667,0.30703791975975037
2,3,3072,29,0.3020833333333333,0.288810670375824
2,3,3072,30,0.3125,0.28046342730522156
2,3,3072,31,0.3229166666666667,0.29752975702285767
2,3,3072,32,0.3333333333333333,0.30313533544540405
2,4,4096,16,0.125,0.17437121272087097
2,4,4096,17,0.1328125,0.1755019724369049
2,4,4096,18,0.140625,0.17748934030532837
2,4,4096,19,0.1484375,0.18568982183933258
2,4,4096,20,0.15625,0.19922851026058197
2,4,4096,21,0.1640625,0.2206520140171051
2,4,4096,22,0.171875,0.22756730020046234
2,4,4096,23,0.1796875,0.2194642424583435
2,4,4096,24,0.1875,0.22152841091156006
2,4,4096,25,0.1953125,0.2236759215593338
2,4,4096,26,0.203125,0.22021959722042084
2,4,4096,27,0.2109375,0.2349955439567566
2,4,4096,28,0.21875,0.24079297482967377
2,4,4096,29,0.2265625,0.23730811476707458
2,4,4096,30,0.234375,0.24138538539409637
2,4,4096,31,0.2421875,0.24135683476924896
2,4,4096,32,0.25,0.2512364685535431
2,5,5120,16,0.1,0.16535794734954834
2,5,5120,17,0.10625,0.15159285068511963
2,5,5120,18,0.1125,0.17286472022533417
2,5,5120,19,0.11875,0.19900357723236084
2,5,5120,20,0.125,0.20704182982444763
2,5,5120,21,0.13125,0.22821514308452606
2,5,5120,22,0.1375,0.2204514592885971
2,5,5120,23,0.14375,0.2228691726922989
2,5,5120,24,0.15,0.18758951127529144
2,5,5120,25,0.15625,0.20167182385921478
2,5,5120,26,0.1625,0.21178559958934784
2,5,5120,27,0.16875,0.22573259472846985
2,5,5120,28,0.175,0.2401168793439865
2,5,5120,29,0.18125,0.2251589596271515
2,5,5120,30,0.1875,0.20631781220436096
2,5,5120,31,0.19375,0.20813903212547302
